FeatureName,FeatureType,DateCode,Measurement,Units,Value,Indicator (road network traffic)
West Dunbartonshire,Council Area,2016,Ratio,Percent Of Roads,33.8,The Percentage Of Roads Needing Repairs (Red And Amber Classification)  
West Dunbartonshire,Council Area,2009,Ratio,Percent Of Roads,32.5,The Percentage Of Roads Needing Repairs (Red And Amber Classification)  
West Dunbartonshire,Council Area,2021,Ratio,Percent Of Roads,28,The Percentage Of Roads Needing Repairs (Red And Amber Classification)  
West Dunbartonshire,Council Area,2015,Ratio,Percent Of Roads,35.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification)  
West Dunbartonshire,Council Area,2008,Ratio,Percent Of Roads,29.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification)  
West Dunbartonshire,Council Area,2009,Ratio,Driver Journeys,7.76,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
West Dunbartonshire,Council Area,2020,Ratio,Percent Of Roads,30.6,The Percentage Of Roads Needing Repairs (Red And Amber Classification)  
West Dunbartonshire,Council Area,2016,Count,Vehicle Kilometres,667,The Total Million Vehicle Kilometres On Scottish Roads
West Dunbartonshire,Council Area,2014,Count,Vehicle Kilometres,646,The Total Million Vehicle Kilometres On Scottish Roads
West Dunbartonshire,Council Area,2008,Count,Vehicle Kilometres,623,The Total Million Vehicle Kilometres On Scottish Roads
West Dunbartonshire,Council Area,2014,Ratio,Driver Journeys,9.5,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
West Dunbartonshire,Council Area,2014,Ratio,Percent Of Roads,25.4,The Percentage Of Roads Needing Repairs (Red And Amber Classification)  
West Dunbartonshire,Council Area,2021,Count,Vehicle Kilometres,613,The Total Million Vehicle Kilometres On Scottish Roads
West Dunbartonshire,Council Area,2015,Count,Vehicle Kilometres,655,The Total Million Vehicle Kilometres On Scottish Roads
West Dunbartonshire,Council Area,2015,Ratio,Driver Journeys,12.1,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
West Dunbartonshire,Council Area,2021,Ratio,Driver Journeys,14,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
West Dunbartonshire,Council Area,2018,Ratio,Driver Journeys,16,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
West Dunbartonshire,Council Area,2019,Ratio,Percent Of Roads,31.8,The Percentage Of Roads Needing Repairs (Red And Amber Classification)  
West Dunbartonshire,Council Area,2009,Count,Vehicle Kilometres,640,The Total Million Vehicle Kilometres On Scottish Roads
West Dunbartonshire,Council Area,2019,Count,Vehicle Kilometres,678,The Total Million Vehicle Kilometres On Scottish Roads
West Dunbartonshire,Council Area,2006,Ratio,Percent Of Roads,45,The Percentage Of Roads Needing Repairs (Red And Amber Classification)  
West Dunbartonshire,Council Area,2018,Count,Vehicle Kilometres,677,The Total Million Vehicle Kilometres On Scottish Roads
West Dunbartonshire,Council Area,2018,Ratio,Percent Of Roads,33.6,The Percentage Of Roads Needing Repairs (Red And Amber Classification)  
West Dunbartonshire,Council Area,2006,Count,Vehicle Kilometres,628,The Total Million Vehicle Kilometres On Scottish Roads
West Dunbartonshire,Council Area,2005,Ratio,Driver Journeys,16.3,Percentage Of Driver Journeys Delayed Due To Traffic Congestion
West Dunbartonshire,Council Area,2017,Count,Vehicle Kilometres,664,The Total Million Vehicle Kilometres On Scottish Roads
West Dunbartonshire,Council Area,2020,Count,Vehicle Kilometres,534,The Total Million Vehicle Kilometres On Scottish Roads
